oid,mjd,fid,ra,dec,isdiffpos,mag_used,err_used
ZTF18aajtltx,58743.18408560008,1,274.382269,58.4936541,1,19.144705,0.18907113
ZTF18aajtltx,58743.18453700002,1,274.3821694,58.4936513,1,19.37839,0.1856243
ZTF18aajtltx,58743.18553239992,1,274.3821368,58.4936325,1,19.37839,0.17251626
ZTF18aajtltx,58743.21072919993,2,274.382343,58.4936081,1,18.6483,0.129045
ZTF18aajtltx,58743.22045140015,2,274.3821883,58.4936245,1,18.8246,0.205731
ZTF18aajtltx,58743.241111100186,1,274.3821107,58.4938078,1,19.37839,0.209103
ZTF18aajtltx,58744.15447920002,2,274.38224,58.4936377,1,19.3235,0.2305998500000009
ZTF18aajtltx,58745.15406250022,2,274.3822933,58.4935703,1,18.830692,0.13261543
ZTF18aajtltx,58745.155509300064,2,274.3823743,58.4935258,1,18.915466,0.21010074
ZTF18aajtltx,58745.1832059999,1,274.3822549,58.4937058,1,19.04684,0.20558631
ZTF18aajtltx,58745.18364580022,1,274.3823429,58.4935202,1,19.37839,0.1693081
ZTF18aajtltx,58745.18464120012,1,274.3822949,58.4935964,1,19.37839,0.2305998500000009
ZTF18aajtltx,58745.211331000086,2,274.3821454,58.4935635,1,18.8751,0.228218
ZTF18aajtltx,58745.24163189996,1,274.3822957,58.4936225,1,18.8588,0.110998
ZTF18aajtltx,58746.20813659998,1,274.3825299,58.4934189,1,19.37839,0.21253
ZTF18aajtltx,58746.21535879979,2,274.3822204,58.4935156,1,19.37839,0.184412
ZTF18aajtltx,58746.22504629986,2,274.3821174,58.4936079,1,19.37839,0.205025
ZTF18aajtltx,58747.1363309999,1,274.3823192,58.4935866,1,19.37839,0.151931
ZTF18aajtltx,58747.15512729995,2,274.3820789,58.4937035,1,18.8804,0.2305998500000009
ZTF18aajtltx,58747.18309029983,1,274.3822076,58.4937036,1,19.254135,0.21046405
ZTF18aajtltx,58747.18453700002,1,274.3822408,58.493577,1,19.37839,0.2305998500000009
ZTF18aajtltx,58747.24003469991,1,274.3822475,58.4935537,1,19.37839,0.157092
ZTF18aajtltx,58747.26326389983,2,274.3821444,58.4935873,1,19.0187,0.158894
ZTF18aajtltx,58747.30828699982,1,274.3823745,58.4936817,1,19.37839,0.2305998500000009
ZTF18aajtltx,58748.153125000186,2,274.3824015,58.4934479,1,19.333,0.161606
ZTF18aajtltx,58748.18219910003,1,274.3820079,58.4937374,1,19.3217,0.2305998500000009
ZTF18aajtltx,58748.18265049998,1,274.3820071,58.4936402,1,19.37839,0.2305998500000009
ZTF18aajtltx,58748.21096060006,2,274.3823167,58.4935835,1,19.1367,0.2305998500000009
